senator,ticker,owner,type,transaction_date
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/24/2020
"David A Perdue , Jr",DAL,Joint,Purchase,2/24/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/24/2020
"David A Perdue , Jr",TRP,Joint,Purchase,2/24/2020
"David A Perdue , Jr",HBI,Joint,Purchase,2/7/2020
"David A Perdue , Jr",HBI,Joint,Purchase,2/7/2020
"David A Perdue , Jr",WMB,Joint,Sale (Partial),2/10/2020
"David A Perdue , Jr",TRGP,Joint,Sale (Partial),2/10/2020
"David A Perdue , Jr",TRGP,Joint,Sale (Partial),2/10/2020
"David A Perdue , Jr",HBI,Joint,Purchase,2/10/2020
"David A Perdue , Jr",ET,Joint,Sale (Partial),2/10/2020
"David A Perdue , Jr",ET,Joint,Sale (Partial),2/10/2020
"David A Perdue , Jr",AAPL,Joint,Sale (Partial),2/11/2020
"David A Perdue , Jr",ET,Joint,Sale (Partial),2/13/2020
"David A Perdue , Jr",ET,Joint,Sale (Partial),2/13/2020
"David A Perdue , Jr",WMB,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",WMB,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",TRGP,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",MPLX,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",ENB,Joint,Purchase,2/19/2020
"David A Perdue , Jr",DCP,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",DCP,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",LNG,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",ALB,Joint,Sale (Partial),2/19/2020
"David A Perdue , Jr",WES,Joint,Sale (Partial),2/20/2020
"David A Perdue , Jr",WES,Joint,Sale (Partial),2/20/2020
"David A Perdue , Jr",SHLX,Joint,Sale (Partial),2/20/2020
"David A Perdue , Jr",OKE,Joint,Sale (Partial),2/20/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/20/2020
"David A Perdue , Jr",PSXP,Joint,Purchase,2/21/2020
"David A Perdue , Jr",PSXP,Joint,Purchase,2/21/2020
"David A Perdue , Jr",PSXP,Joint,Purchase,2/21/2020
"David A Perdue , Jr",VIAC,Joint,Purchase,2/21/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/21/2020
Lamar Alexander,--,Spouse,Purchase,5/31/2019
Lamar Alexander,--,Spouse,Purchase,5/31/2019
Lamar Alexander,--,Spouse,Sale (Full),5/31/2019
Lamar Alexander,--,Spouse,Purchase,11/13/2019
John Hoeven,BMEZ,Self,Purchase,1/29/2020
James M Inhofe,PYPL,Self,Sale (Full),1/27/2020
James M Inhofe,INTU,Self,Sale (Full),1/27/2020
James M Inhofe,DHR,Self,Sale (Full),1/27/2020
James M Inhofe,BAM,Self,Sale (Partial),1/27/2020
James M Inhofe,AAPL,Self,Sale (Partial),1/27/2020
Rick Scott,--,Self,Purchase,1/14/2020
Rick Scott,--,Spouse,Purchase,1/14/2020
Rick Scott,--,Spouse,Purchase,1/14/2020
Mark R Warner,--,Self,Purchase,1/16/2020
Kelly Loeffler,CMCSA,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,CSCO,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,GS,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,CVX,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,UL,Spouse,Sale (Partial),1/14/2020
Kelly Loeffler,PRU,Spouse,Sale (Partial),1/8/2020
Kelly Loeffler,--,Spouse,Purchase,1/29/2020
Kelly Loeffler,--,Self,Purchase,1/29/2020
Kelly Loeffler,TJX,Spouse,Sale (Partial),1/31/2020
Kelly Loeffler,ROST,Spouse,Sale (Partial),1/31/2020
Kelly Loeffler,AZO,Spouse,Sale (Partial),1/31/2020
Kelly Loeffler,AZO,Spouse,Sale (Partial),1/30/2020
Kelly Loeffler,ROST,Spouse,Sale (Partial),1/29/2020
Kelly Loeffler,KEYS,Spouse,Sale (Full),1/29/2020
Kelly Loeffler,CMCSA,Spouse,Sale (Partial),1/29/2020
Kelly Loeffler,REZI,Spouse,Sale (Partial),1/28/2020
Kelly Loeffler,REZI,Spouse,Sale (Partial),1/27/2020
Kelly Loeffler,DFS,Spouse,Purchase,1/21/2020
Kelly Loeffler,--,Spouse,Purchase,1/17/2020
Kelly Loeffler,--,Spouse,Purchase,1/8/2020
Kelly Loeffler,--,Spouse,Purchase,1/8/2020
Kelly Loeffler,REZI,Spouse,Sale (Partial),1/24/2020
"David A Perdue , Jr",--,Joint,Sale (Partial),1/13/2020
"David A Perdue , Jr",ENTG,Joint,Sale (Partial),1/13/2020
"David A Perdue , Jr",URBN,Joint,Purchase,1/13/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),1/30/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),1/30/2020
"David A Perdue , Jr",GLW,Joint,Purchase,1/29/2020
"David A Perdue , Jr",AXTA,Joint,Sale (Partial),1/29/2020
"David A Perdue , Jr",AAPL,Joint,Sale (Partial),1/28/2020
"David A Perdue , Jr",WPX,Joint,Purchase,1/27/2020
"David A Perdue , Jr",GPK,Joint,Sale (Partial),1/27/2020
"David A Perdue , Jr",BAC,Joint,Sale (Partial),1/24/2020
"David A Perdue , Jr",WPX,Joint,Purchase,1/24/2020
"David A Perdue , Jr",DD,Joint,Purchase,1/24/2020
"David A Perdue , Jr",DD,Joint,Purchase,1/24/2020
"David A Perdue , Jr",CDLX,Joint,Sale (Partial),1/23/2020
"David A Perdue , Jr",GPK,Joint,Sale (Partial),1/22/2020
"David A Perdue , Jr",URBN,Joint,Purchase,1/21/2020
"David A Perdue , Jr",GPK,Joint,Sale (Partial),1/14/2020
"David A Perdue , Jr",ENTG,Joint,Sale (Full),1/14/2020
"David A Perdue , Jr",URBN,Joint,Purchase,1/13/2020
"David A Perdue , Jr",AAPL,Joint,Sale (Partial),1/10/2020
