transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
03/26/2020,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/26/2020,Joint,WMB,"The Williams Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/26/2020,Joint,LNG,"Cheniere Energy, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,ORCL,Oracle Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,BOIVF,Bollore,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,VIAC,ViacomCBS Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,MU,"Micron Technology, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,SBUX,Starbucks Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/27/2020,Joint,MU,"Micron Technology, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/30/2020,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/30/2020,Joint,MU,"Micron Technology, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
03/30/2020,Joint,MU,"Micron Technology, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/
04/02/2020,Self,--,"Westbrand, Inc. <div class=""text-muted""> <em>Company:</em> Westbrand, Inc. &nbsp;(Minot, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of First Western Bank</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/a92c001e-0975-47b5-966e-e8b3a01a7767/
03/24/2020,Spouse,VZ,Verizon Communications Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/23/2020,Spouse,SPY,SPDR S&amp;P 500 ETF Trust,Other Securities,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/23/2020,Spouse,CEF,Sprott Physical Gold and Silver Trust,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/27/2020,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/27/2020,Spouse,SWKS,"Skyworks Solutions, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/27/2020,Spouse,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/27/2020,Spouse,PYPL,"PayPal Holdings, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,--,AQR Long-Short Equity,Other Securities,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,VOD,Vodafone Group Plc,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,MPC,Marathon Petroleum Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,WFC,Wells Fargo &amp; Company,Stock,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,ABBV,AbbVie Inc.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
03/24/2020,Spouse,JPM,JPMorgan Chase &amp; Co.,Stock,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/6beec58d-0b48-4346-9d9e-2f4cb6e88264/
02/21/2020,Spouse,DD,"DuPont de Nemours, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 07/17/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of DD for $40,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/21/2020,Spouse,K,"Kellogg Company <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $60.00 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of K for $60,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/21/2020,Spouse,BABA,"Alibaba Group Holding Limited <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $175.00 <br> <em>Expires:</em> 07/17/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of BABA for $175,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/20/2020,Spouse,AIZ,"Assurant, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $125.00 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of AIZ for $125,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/20/2020,Spouse,ABBV,"AbbVie Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $80.00 <br> <em>Expires:</em> 08/01/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of ABBV for $80,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/20/2020,Joint,DOCU,"DocuSign, Inc.",Stock,Sale (Partial),"$100,001 - $250,000","Lines 1-19 notified to filer on or after March 1, 2020; lines 20-42 notified to filer on or after March 18, 2020",Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/13/2020,Spouse,PRU,"Prudential Financial, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/10/2020,Spouse,CVX,Chevron Corporation,Stock,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/10/2020,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Spouse,AIZ,"Assurant, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $100.00 <br> <em>Expires:</em> 01/15/2021 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",Obligation to purchase stock of AIZ for $100,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Spouse,EMR,"Emerson Electric Co. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $50.00 <br> <em>Expires:</em> 01/15/2021 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of EMR for $50,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Spouse,CR,"Crane Co. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $55.00 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",Obligation to purchase stock of CR for $55,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Spouse,HIG,"The Hartford Financial Services Group, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $45.00 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of HIG for $45,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/04/2020,Spouse,AMGN,"Amgen Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $180.00 <br> <em>Expires:</em> 10/16/2020 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",Obligation to purchase stock of AMGN for $180,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/04/2020,Spouse,AIG,"American International Group, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $40.00 <br> <em>Expires:</em> 08/21/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of AIG for $40,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/04/2020,Spouse,PANW,"Palo Alto Networks, Inc. <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $150.00 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of PANW for $150,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/04/2020,Spouse,CVX,"Chevron Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $92.50 <br> <em>Expires:</em> 09/18/2020 </div>",Stock Option,Sale (Full),"$15,001 - $50,000",Obligation to purchase stock of CVX for $92.50,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/04/2020,Spouse,BP,"BP PLC <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 11/20/2020 </div>",Stock Option,Sale (Full),"$1,001 - $15,000",Obligation to purchase stock of BP for $30,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/03/2020,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/02/2020,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/28/2020,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/11/2020,Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/10/2020,Joint,BKNG,Booking Holdings Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Joint,HELE,Helen of Troy Limited,Stock,Sale (Partial),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/06/2020,Joint,BKNG,Booking Holdings Inc.,Stock,Purchase,"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/09/2020,Joint,TJX,"The TJX Companies, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/03/2020,Joint,ROST,"Ross Stores, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/03/2020,Joint,LULU,Lululemon Athletica Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/03/2020,Joint,FB,"Facebook, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/02/2020,Joint,ROST,"Ross Stores, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/26/2020,Joint,CME,CME Group Inc.,Stock,Purchase,"$100,001 - $250,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/26/2020,Joint,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/26/2020,Joint,AZO,"AutoZone, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/26/2020,Joint,ADP,"Automatic Data Processing, Inc.",Stock,Sale (Partial),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/26/2020,Joint,ARNA,"Arena Pharmaceuticals, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/27/2020,Joint,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,CME,CME Group Inc.,Stock,Purchase,"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,NVDA,NVIDIA Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,IPHI,Inphi Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,FB,"Facebook, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
02/24/2020,Joint,ARNA,"Arena Pharmaceuticals, Inc.",Stock,Sale (Partial),"$50,001 - $100,000",--,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/425096a9-b206-40a7-86b8-67fa4081b252/
03/11/2020,Spouse,ICE,"Intercontinental Exchange, Inc.",Stock,Sale (Partial),"$5,000,001 - $25,000,000","Shares sold through a 10b5-1 plan, which is an SEC compliant pre-determined plan",Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/829529d5-698a-4b58-9af0-8a189cb7a6a8/
02/26/2020,Spouse,ICE,"Intercontinental Exchange, Inc.",Stock,Sale (Partial),"$1,000,001 - $5,000,000","Sale of exercised options and shares received as compensation; shares sold through a 10b5-1 plan, which is an SEC compliant pre determined plan",Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/829529d5-698a-4b58-9af0-8a189cb7a6a8/
02/26/2020,Spouse,ICE,"Intercontinental Exchange, Inc.",Stock,Purchase,"$1,000,001 - $5,000,000",Partial exercise of stock options,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/829529d5-698a-4b58-9af0-8a189cb7a6a8/
03/11/2020,Self,ICE,"Intercontinental Exchange, Inc.",Stock,Sale (Partial),"$5,000,001 - $25,000,000","Sale of exercised options (sold to cover taxes and cost of prior exercise of options); shares sold through a 10b5-1 plan, which is an SEC compliant pre-determined plan",Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/829529d5-698a-4b58-9af0-8a189cb7a6a8/
02/18/2020,Self,ICE,"Intercontinental Exchange, Inc.",Stock,Purchase,"$5,000,001 - $25,000,000",Exercise of stock options prior to expiration date,Kelly Loeffler,https://efdsearch.senate.gov/search/view/ptr/829529d5-698a-4b58-9af0-8a189cb7a6a8/
02/13/2020,Self,WM,"Waste Management, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/2d09ce3a-1dfb-4110-b9aa-fe0dbde0d490/
02/13/2020,Self,DLR,"Digital Realty Trust, Inc.",Stock,Purchase,"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/2d09ce3a-1dfb-4110-b9aa-fe0dbde0d490/
03/26/2020,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/24/2020,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/24/2020,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/26/2020,Spouse,XOM,Exxon Mobil Corporation,Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/26/2020,Spouse,CVX,Chevron Corporation,Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/26/2020,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/24/2020,Spouse,WMT,Walmart Inc.,Stock,Purchase,"$1,001 - $15,000",--,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/24/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/24/2020,Spouse,--,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/20/2020,Spouse,V,Visa Inc.,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/09/2020,Spouse,WMT,Walmart Inc.,Stock,Sale (Full),"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/06/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$100,001 - $250,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/02/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/02/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/20/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/06/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$100,001 - $250,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/06/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$50,001 - $100,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/06/2020,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/02/2020,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$15,001 - $50,000",Sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/02/2020,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$100,001 - $250,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/6bbd9f3b-986f-45ca-925e-b7e8ecad9d0e/
03/09/2020,Spouse,WMT,Walmart Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,TROW,"T. Rowe Price Group, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,PG,The Procter &amp; Gamble Company,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,MDT,Medtronic plc,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,EMR,Emerson Electric Co.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,BLK,"BlackRock, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,AMGN,Amgen Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,T,AT&amp;T Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,VFC,V.F. Corporation,Stock,Purchase,"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,PSX,Phillips 66,Stock,Purchase,"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
03/09/2020,Spouse,MMM,3M Company,Stock,Purchase,"$1,001 - $15,000",--,William Cassidy,https://efdsearch.senate.gov/search/view/ptr/52b33142-c874-415c-a342-d1c32b0772c5/
